Green
165	124	106	103	99	97	95	93	91	89	87	84	83	80	79	75	75	72	70	70	70	69	89	154	170	169	
122	109	100	98	95	93	92	90	88	86	84	81	80	77	76	73	72	70	69	67	67	66	69	85	161	169	
109	101	99	97	95	93	92	90	88	86	84	81	80	77	76	73	72	72	68	69	66	65	65	67	119	170	
109	102	99	97	95	93	92	90	88	86	84	81	80	77	76	73	72	63	66	58	65	65	64	67	90	168	
106	101	99	97	95	93	92	90	88	86	84	81	80	77	76	75	67	147	216	162	64	65	64	65	81	160	
105	101	99	97	95	93	92	90	88	86	84	81	80	77	78	67	107	254	255	255	120	55	66	65	78	156	
105	101	99	97	95	94	92	91	88	86	84	81	80	77	79	60	150	254	248	253	136	52	67	65	76	155	
105	101	99	97	94	88	90	87	85	84	83	79	78	76	75	71	199	255	255	255	94	58	65	65	76	155	
105	101	99	95	100	197	218	214	215	210	210	209	209	208	206	215	246	246	229	141	58	66	64	65	76	155	
105	101	100	90	125	255	255	255	195	102	112	107	106	104	103	100	92	90	74	58	67	64	64	65	76	155	
105	101	102	87	153	254	250	253	137	69	80	75	74	71	70	67	68	66	66	69	66	65	64	65	76	155	
105	101	102	86	184	255	254	253	114	81	87	82	81	78	77	75	68	69	70	67	66	65	64	65	76	155	
105	101	100	91	212	255	255	232	92	84	84	81	80	77	76	68	93	78	62	68	66	65	64	65	76	155	
105	101	97	105	237	255	255	203	80	88	84	81	80	79	68	151	249	227	96	61	68	65	64	65	76	155	
105	102	92	126	254	253	255	176	77	89	85	82	81	76	92	243	255	255	177	53	69	65	64	65	76	155	
105	103	89	153	254	251	253	134	72	82	78	75	76	61	117	253	249	253	174	53	69	65	64	65	76	155	
105	103	87	191	255	255	255	146	107	113	110	107	107	99	190	255	255	255	115	58	68	65	64	65	76	155	
105	102	92	169	218	214	216	213	210	210	210	209	209	209	215	212	200	134	62	68	66	65	64	65	76	155	
105	101	99	93	93	91	89	88	87	85	83	79	78	75	72	70	65	60	69	67	66	65	64	65	78	156	
106	101	99	98	96	93	93	90	88	86	84	81	80	77	76	73	73	72	68	67	66	65	64	65	81	160	
109	102	99	97	95	93	92	90	88	86	84	81	80	77	76	73	72	70	68	67	66	65	65	68	90	168	
109	101	99	97	95	93	92	90	88	86	84	81	80	77	76	73	72	70	68	67	66	65	65	68	119	170	
122	109	99	98	95	93	92	90	88	86	84	81	80	77	76	73	72	70	68	67	67	66	69	84	160	169	
164	122	106	102	99	97	95	93	91	89	87	84	83	80	79	75	74	72	70	70	70	69	88	153	170	169	
170	170	146	124	113	109	107	105	103	102	100	98	96	94	93	91	90	89	87	89	100	129	164	170	169	170	
170	170	170	170	168	168	167	167	167	167	166	167	166	166	166	166	166	166	166	167	170	170	170	169	170	170	
170	170	169	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	169	169	170	170	170	
170	170	170	170	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	170	170	170	170	170	170	
